  0.00000000E+00 -0.97329868E+01
  0.12245337E-01 -0.97324483E+01
  0.24490674E-01 -0.97308309E+01
  0.36736011E-01 -0.97281331E+01
  0.48981348E-01 -0.97243548E+01
  0.61226685E-01 -0.97194974E+01
  0.73472022E-01 -0.97135630E+01
  0.85717360E-01 -0.97065493E+01
  0.97962697E-01 -0.96984552E+01
  0.11020803E+00 -0.96892809E+01
  0.12245337E+00 -0.96790280E+01
  0.13469871E+00 -0.96676989E+01
  0.14694404E+00 -0.96552918E+01
  0.15918938E+00 -0.96418057E+01
  0.17143472E+00 -0.96272409E+01
  0.18368006E+00 -0.96115990E+01
  0.19592539E+00 -0.95948824E+01
  0.20817073E+00 -0.95770892E+01
  0.22041607E+00 -0.95582181E+01
  0.23266140E+00 -0.95382690E+01
  0.24490674E+00 -0.95172436E+01
  0.25715208E+00 -0.94951440E+01
  0.26939742E+00 -0.94719684E+01
  0.28164275E+00 -0.94477160E+01
  0.29388809E+00 -0.94223872E+01
  0.30613343E+00 -0.93959845E+01
  0.31837876E+00 -0.93685107E+01
  0.33062410E+00 -0.93399646E+01
  0.34286944E+00 -0.93103452E+01
  0.35511478E+00 -0.92796527E+01
  0.36736011E+00 -0.92478887E+01
  0.37960545E+00 -0.92150554E+01
  0.39185079E+00 -0.91811506E+01
  0.40409612E+00 -0.91461730E+01
  0.41634146E+00 -0.91101233E+01
  0.42858680E+00 -0.90730037E+01
  0.44083213E+00 -0.90348179E+01
  0.45307747E+00 -0.89955650E+01
  0.46532281E+00 -0.89552446E+01
  0.47756815E+00 -0.89138576E+01
  0.48981348E+00 -0.88714062E+01
  0.50205882E+00 -0.88278932E+01
  0.51430416E+00 -0.87833162E+01
  0.52654949E+00 -0.87376743E+01
  0.53879483E+00 -0.86909680E+01
  0.55104017E+00 -0.86431995E+01
  0.56328551E+00 -0.85943726E+01
  0.57553084E+00 -0.85444865E+01
  0.58777618E+00 -0.84935410E+01
  0.60002152E+00 -0.84415373E+01
  0.61226685E+00 -0.83884783E+01
  0.62451219E+00 -0.83343674E+01
  0.63675753E+00 -0.82792026E+01
  0.64900287E+00 -0.82229835E+01
  0.66124820E+00 -0.81657113E+01
  0.67349354E+00 -0.81073885E+01
  0.68573888E+00 -0.80480199E+01
  0.69798421E+00 -0.79876048E+01
  0.71022955E+00 -0.79261431E+01
  0.72247489E+00 -0.78636365E+01
  0.73472022E+00 -0.78000882E+01
  0.74696556E+00 -0.77355022E+01
  0.75921090E+00 -0.76698765E+01
  0.77145624E+00 -0.76032113E+01
  0.78370157E+00 -0.75355083E+01
  0.79594691E+00 -0.74667711E+01
  0.80819225E+00 -0.73970054E+01
  0.82043758E+00 -0.73262115E+01
  0.83268292E+00 -0.72543902E+01
  0.84492826E+00 -0.71815441E+01
  0.85717360E+00 -0.71076778E+01
  0.86941893E+00 -0.70327961E+01
  0.88166427E+00 -0.69568981E+01
  0.89390961E+00 -0.68799849E+01
  0.90615494E+00 -0.68020596E+01
  0.91840028E+00 -0.67231274E+01
  0.93064562E+00 -0.66431964E+01
  0.94289096E+00 -0.65622689E+01
  0.95513629E+00 -0.64803483E+01
  0.96738163E+00 -0.63974403E+01
  0.97962697E+00 -0.63135532E+01
  0.99187230E+00 -0.62286967E+01
  0.10041176E+01 -0.61428745E+01
  0.10163630E+01 -0.60560940E+01
  0.10286083E+01 -0.59683660E+01
  0.10408537E+01 -0.58797058E+01
  0.10530990E+01 -0.57901341E+01
  0.10653443E+01 -0.56996694E+01
  0.10775897E+01 -0.56083362E+01
  0.10898350E+01 -0.55161695E+01
  0.11020803E+01 -0.54232188E+01
  0.11143257E+01 -0.53295531E+01
  0.11265710E+01 -0.52352641E+01
  0.11388163E+01 -0.51404972E+01
  0.11510617E+01 -0.50454896E+01
  0.11633070E+01 -0.49506512E+01
  0.11755524E+01 -0.48567490E+01
  0.11877977E+01 -0.47653599E+01
  0.12000430E+01 -0.46802063E+01
  0.12122884E+01 -0.46111691E+01
  0.12245337E+01 -0.45816361E+01
  
  0.00000000E+00 -0.97329828E+01
  0.12245337E-01 -0.97324422E+01
  0.24490674E-01 -0.97308223E+01
  0.36736011E-01 -0.97281245E+01
  0.48981348E-01 -0.97243487E+01
  0.61226685E-01 -0.97194934E+01
  0.73472022E-01 -0.97135566E+01
  0.85717360E-01 -0.97065405E+01
  0.97962697E-01 -0.96984464E+01
  0.11020803E+00 -0.96892746E+01
  0.12245337E+00 -0.96790240E+01
  0.13469871E+00 -0.96676927E+01
  0.14694404E+00 -0.96552831E+01
  0.15918938E+00 -0.96417969E+01
  0.17143472E+00 -0.96272346E+01
  0.18368006E+00 -0.96115950E+01
  0.19592539E+00 -0.95948762E+01
  0.20817073E+00 -0.95770805E+01
  0.22041607E+00 -0.95582093E+01
  0.23266140E+00 -0.95382628E+01
  0.24490674E+00 -0.95172396E+01
  0.25715208E+00 -0.94951376E+01
  0.26939742E+00 -0.94719594E+01
  0.28164275E+00 -0.94477069E+01
  0.29388809E+00 -0.94223807E+01
  0.30613343E+00 -0.93959804E+01
  0.31837876E+00 -0.93685045E+01
  0.33062410E+00 -0.93399559E+01
  0.34286944E+00 -0.93103364E+01
  0.35511478E+00 -0.92796465E+01
  0.36736011E+00 -0.92478847E+01
  0.37960545E+00 -0.92150487E+01
  0.39185079E+00 -0.91811411E+01
  0.40409612E+00 -0.91461635E+01
  0.41634146E+00 -0.91101165E+01
  0.42858680E+00 -0.90729997E+01
  0.44083213E+00 -0.90348118E+01
  0.45307747E+00 -0.89955562E+01
