 written on 15Jun2021 at 22:00:36 
   20.0000000000000       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000   20.0000000000000       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000   2.56598541000000     
           4
          41
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2

    0    0  -20
    3    3   -0.55416044E-02 -0.16575729E-07
    4    3    0.12367975E-05 -0.12744498E-04
    1    4   -0.20408640E-04 -0.77439555E-05
    2    4    0.53777604E-03  0.12196773E-05
    3    4    0.28942028E-05 -0.14021718E-04
    4    4    0.84832562E-02  0.14251266E-09

    0    0  -12
    1    1   -0.19882543E-03  0.71463553E-07
    2    1    0.21282341E-04  0.34352566E-05
    3    1    0.46493127E-02 -0.56902433E-05
    4    1   -0.21735681E-04 -0.89697542E-05
    1    2    0.20873757E-04  0.23910249E-05
    2    2    0.12272722E-02 -0.41085486E-07
    3    2   -0.47536723E-04  0.23749762E-05
    4    2    0.53921035E-03  0.44397554E-06
    1    3   -0.60154448E-02 -0.73937639E-05
    2    3    0.55155545E-04 -0.15241231E-06
    3    3   -0.25248574E-03 -0.14598912E-07
    4    3    0.22832521E-04 -0.12133572E-04
    1    4   -0.32778842E-03  0.51923179E-05
    2    4   -0.26093556E-01 -0.18461628E-04
    3    4    0.24243307E-04 -0.10906964E-04
    4    4    0.68028694E-02 -0.21547757E-07

    0    0  -11
    1    1    0.80911995E-02  0.39662751E-08
    2    1   -0.43975374E-04 -0.10433005E-05
    3    1   -0.60154687E-02  0.73453619E-05
    4    1   -0.32818892E-03 -0.11121033E-04
    1    2   -0.43980243E-04  0.11021485E-05
    2    2    0.30622192E-02 -0.91742834E-08
    3    2    0.55382036E-04 -0.30672554E-05
    4    2   -0.26093501E-01  0.18579405E-04
    1    3   -0.56229262E-02 -0.68610337E-05
    2    3    0.59452124E-04  0.25144933E-05
    3    3    0.10489666E-01  0.21515304E-07
    4    3   -0.14311731E-04  0.10997730E-04
    1    4   -0.50487442E-04  0.11409704E-04
    2    4   -0.72208613E-02 -0.60906630E-05
    3    4   -0.15796848E-04  0.13242857E-04
    4    4   -0.11703004E-01 -0.41764037E-08

    0    0  -10
    1    1   -0.32600464E-02 -0.12368411E-06
    2    1    0.22776238E-04 -0.44213420E-05
    3    1   -0.56229254E-02  0.68616228E-05
    4    1   -0.48857425E-04  0.92153689E-05
    1    2    0.23471200E-04 -0.55140905E-05
    2    2   -0.28839619E-03  0.75067530E-07
    3    2    0.59311122E-04 -0.57182762E-06
    4    2   -0.72225299E-02  0.41919923E-05
    1    3    0.12835600E-01  0.15745868E-04
    2    3   -0.12365253E-03 -0.23477226E-05
    3    3   -0.44074798E-02  0.18114923E-07
    4    3   -0.17095768E-04  0.16285718E-04
    1    4    0.36032507E-03 -0.29560027E-05
    2    4    0.29779236E-01  0.20830727E-04
    3    4   -0.18993533E-04  0.14751631E-04
    4    4   -0.13467918E-01  0.36720251E-07

    0    0   -9
    1    1   -0.12250378E-01  0.35569022E-07
    2    1    0.76746962E-04  0.33337177E-05
    3    1    0.12835635E-01 -0.15712435E-04
    4    1    0.36121804E-03  0.15300732E-04
    1    2    0.76557335E-04 -0.39173827E-06
    2    2   -0.40036445E-02 -0.21174458E-07
    3    2   -0.12378780E-03  0.40380374E-05
    4    2    0.29778804E-01 -0.21418730E-04
    1    3    0.37685603E-02  0.44133943E-05
    2    3   -0.44904727E-04 -0.60455588E-05
    3    3   -0.15684105E-01 -0.31099937E-07
    4    3    0.31094852E-04 -0.72788356E-05
    1    4    0.16719013E-03 -0.17069907E-04
    2    4    0.17428789E-01  0.13471930E-04
    3    4    0.32201717E-04 -0.10826521E-04
    4    4    0.15741057E-01  0.66388516E-08

    0    0   -8
    1    1    0.10618131E-01  0.18727047E-06
    2    1   -0.11587735E-03  0.47033560E-05
    3    1    0.37685704E-02 -0.45022152E-05
    4    1    0.16515998E-03 -0.93753673E-05
    1    2   -0.11691198E-03  0.10300270E-04
    2    2   -0.15920548E-02 -0.11425591E-06
    3    2   -0.44253380E-04 -0.36501658E-05
    4    2    0.17430804E-01 -0.11289881E-04
    1    3   -0.22934336E-01 -0.27990964E-04
    2    3    0.22557262E-03  0.74345755E-05
    3    3    0.14224557E-01 -0.24725751E-07
    4    3    0.15920747E-05 -0.22896768E-04
    1    4   -0.40114448E-03 -0.59576188E-06
    2    4   -0.34435701E-01 -0.23777022E-04
    3    4    0.43162120E-05 -0.20602542E-04
    4    4    0.26225098E-01 -0.56870014E-07

    0    0   -7
    1    1    0.16144864E-01 -0.11690489E-06
    2    1   -0.10789417E-03 -0.70108034E-05
    3    1   -0.22934392E-01  0.28016838E-04
    4    1   -0.40274111E-03 -0.21485997E-04
    1    2   -0.10730539E-03 -0.17454141E-05
    2    2    0.50313632E-02  0.77360854E-07
    3    2    0.22536525E-03 -0.41151767E-05
    4    2   -0.34434644E-01  0.25093442E-04
    1    3    0.31396974E-02  0.44202328E-05
    2    3   -0.13723915E-04  0.11675768E-04
    3    3    0.20035071E-01  0.52562290E-07
    4    3   -0.52749307E-04  0.58447262E-06
    1    4   -0.38271560E-03  0.26051496E-04
    2    4   -0.35820638E-01 -0.26690116E-04
    3    4   -0.53068102E-04  0.60314434E-05
    4    4   -0.21081708E-01 -0.83979221E-08

    0    0   -6
    1    1   -0.24761418E-01 -0.27349387E-06
    2    1    0.30290303E-03 -0.36633032E-05
    3    1    0.31396497E-02 -0.41736132E-05
    4    1   -0.38008564E-03  0.82717758E-05
    1    2    0.30442407E-03 -0.18316535E-04
    2    2    0.61882597E-02  0.16455103E-06
    3    2   -0.15325586E-04  0.12139684E-04
    4    2   -0.35823255E-01  0.24212836E-04
    1    3    0.39386266E-01  0.47618051E-04
    2    3   -0.39266209E-03 -0.17755162E-04
    3    3   -0.32884762E-01  0.32354032E-07
    4    3    0.24662182E-04  0.36067811E-04
    1    4    0.46766896E-03  0.72724264E-05
    2    4    0.41300487E-01  0.27996125E-04
    3    4    0.20355715E-04  0.32411804E-04
    4    4   -0.54727287E-01  0.87402224E-07

    0    0   -5
    1    1   -0.20395970E-01  0.28140664E-06
    2    1    0.16019093E-03  0.13928930E-04
    3    1    0.39386379E-01 -0.47783851E-04
    4    1    0.47061891E-03  0.32615448E-04
    1    2    0.15886207E-03  0.60355952E-05
    2    2   -0.54247331E-02 -0.18618020E-06
    3    2   -0.39165590E-03  0.22046933E-05
    4    2    0.41298102E-01 -0.30598378E-04
    1    3   -0.21279469E-01 -0.27581439E-04
    2    3    0.15464675E-03 -0.27154177E-04
    3    3   -0.23301076E-01 -0.12029571E-06
    4    3    0.94174754E-04  0.14850040E-04
    1    4    0.88692394E-03 -0.46268989E-04
    2    4    0.80015542E-01  0.58153371E-04
    3    4    0.92730259E-04  0.56623820E-05
    4    4    0.28087308E-01  0.27539636E-07

    0    0   -4
    1    1    0.58573745E-01  0.48563154E-06
    2    1   -0.80596421E-03  0.95323684E-06
    3    1   -0.21279304E-01  0.26933126E-04
    4    1    0.88314542E-03 -0.47876892E-05
    1    2   -0.80877849E-03  0.40216191E-04
    2    2   -0.23320141E-01 -0.28849391E-06
    3    2    0.15875216E-03 -0.34494681E-04
    4    2    0.80019620E-01 -0.55538547E-04
    1    3   -0.80811050E-01 -0.95859266E-04
    2    3    0.82709332E-03  0.45564318E-04
    3    3    0.76984409E-01 -0.24176389E-07
    4    3   -0.66033947E-04 -0.69668790E-04
    1    4   -0.64782909E-03 -0.27263843E-04
    2    4   -0.58391352E-01 -0.38715390E-04
    3    4   -0.57483209E-04 -0.63080491E-04
    4    4    0.14109755E+00 -0.18719563E-06

    0    0   -3
    1    1    0.32579344E-01 -0.67084759E-06
    2    1   -0.48204093E-03 -0.34084362E-04
    3    1   -0.80811404E-01  0.96383985E-04
    4    1   -0.65453344E-03 -0.65103932E-04
    1    2   -0.47910688E-03 -0.96678095E-05
    2    2   -0.37062925E-02  0.37238428E-06
    3    2    0.82384100E-03  0.35770152E-05
    4    2   -0.58385474E-01  0.44073311E-04
    1    3    0.92263318E-01  0.11953214E-03
    2    3   -0.57508772E-03  0.13889136E-03
    3    3    0.27708984E-01  0.42832329E-06
    4    3   -0.25237515E-03 -0.71334939E-04
    1    4   -0.32269339E-02  0.15336447E-03
    2    4   -0.29036595E+00 -0.20730724E-03
    3    4   -0.24420216E-03 -0.48447527E-04
    4    4   -0.29434366E-01 -0.14297532E-06

    0    0   -2
    1    1   -0.22693731E+00 -0.30272262E-05
    2    1    0.49208107E-02 -0.17823065E-04
    3    1    0.92262622E-01 -0.11636414E-03
    4    1   -0.32162003E-02 -0.64248231E-06
    1    2    0.49398174E-02 -0.26130730E-03
    2    2    0.25256417E+00  0.24089952E-05
    3    2   -0.59537457E-03  0.16471377E-03
    4    2   -0.29038204E+00  0.20520559E-03
    1    3    0.37943620E+00  0.41421771E-03
    2    3   -0.49365835E-02 -0.55858802E-03
    3    3   -0.29498331E+00 -0.47728431E-06
    4    3    0.35378542E-03  0.34345327E-03
    1    4    0.67506537E-02 -0.11406176E-03
    2    4    0.61466009E+00  0.42934882E-03
    3    4    0.31045024E-03  0.31231079E-03
    4    4   -0.75427212E+00  0.11119834E-05

    0    0   -1
    1    1   -0.28089683E+00  0.16891581E-04
    2    1   -0.84306495E-02  0.48262130E-03
    3    1    0.37943971E+00 -0.42289308E-03
    4    1    0.67611699E-02  0.24879855E-03
    1    2   -0.85240259E-02  0.88817330E-03
    2    2   -0.12566676E+01 -0.11838994E-04
    3    2   -0.48795729E-02 -0.29347932E-03
    4    2    0.61466825E+00 -0.44314680E-03
    1    3   -0.28101812E+01 -0.35262499E-02
    2    3    0.26045642E-01  0.24708163E-03
    3    3    0.37075578E-01 -0.33335195E-05
    4    3    0.23353197E-03 -0.36100469E-03
    1    4   -0.43960948E-02 -0.22555831E-03
    2    4   -0.44740283E+00 -0.32043479E-03
    3    4    0.28791445E-03 -0.42461197E-03
    4    4    0.12435020E+01 -0.16877522E-05

    0    0    0
    1    1   -0.54107439E+01  0.15254730E-16
    2    1   -0.26394619E-01 -0.63966048E-03
    3    1   -0.28101918E+01  0.35176406E-02
    4    1   -0.44372590E-02 -0.38015758E-03
    1    2   -0.26394619E-01  0.63966048E-03
    2    2   -0.82561373E+01 -0.44301306E-16
    3    2    0.26101287E-01 -0.10801359E-02
    4    2   -0.44738923E+00  0.31643808E-03
    1    3   -0.28101918E+01 -0.35176406E-02
    2    3    0.26101287E-01  0.10801359E-02
    3    3   -0.41520521E+01 -0.21375049E-16
    4    3   -0.43197159E-03  0.19777836E-04
    1    4   -0.44372590E-02  0.38015758E-03
    2    4   -0.44738923E+00 -0.31643808E-03
    3    4   -0.43197159E-03 -0.19777836E-04
    4    4   -0.97675340E+00 -0.11430366E-16

    0    0    1
    1    1   -0.28089683E+00 -0.16891581E-04
    2    1   -0.85240259E-02 -0.88817330E-03
    3    1   -0.28101812E+01  0.35262499E-02
    4    1   -0.43960948E-02  0.22555831E-03
    1    2   -0.84306495E-02 -0.48262130E-03
    2    2   -0.12566676E+01  0.11838994E-04
    3    2    0.26045642E-01 -0.24708163E-03
    4    2   -0.44740283E+00  0.32043479E-03
    1    3    0.37943971E+00  0.42289308E-03
    2    3   -0.48795729E-02  0.29347932E-03
    3    3    0.37075578E-01  0.33335195E-05
    4    3    0.28791445E-03  0.42461197E-03
    1    4    0.67611699E-02 -0.24879855E-03
    2    4    0.61466825E+00  0.44314680E-03
    3    4    0.23353197E-03  0.36100469E-03
    4    4    0.12435020E+01  0.16877522E-05

    0    0    2
    1    1   -0.22693731E+00  0.30272262E-05
    2    1    0.49398174E-02  0.26130730E-03
    3    1    0.37943620E+00 -0.41421771E-03
    4    1    0.67506537E-02  0.11406176E-03
    1    2    0.49208107E-02  0.17823065E-04
    2    2    0.25256417E+00 -0.24089952E-05
    3    2   -0.49365835E-02  0.55858802E-03
    4    2    0.61466009E+00 -0.42934882E-03
    1    3    0.92262622E-01  0.11636414E-03
    2    3   -0.59537457E-03 -0.16471377E-03
    3    3   -0.29498331E+00  0.47728431E-06
    4    3    0.31045024E-03 -0.31231079E-03
    1    4   -0.32162003E-02  0.64248231E-06
    2    4   -0.29038204E+00 -0.20520559E-03
    3    4    0.35378542E-03 -0.34345327E-03
    4    4   -0.75427212E+00 -0.11119834E-05

    0    0    3
