naver=     100          psit(ifre)=P(ifre,isurface)**2
time=       1.00(fs).
  0.35423E-03  0.23568E-05  0.24291E-03  0.13592E-05  0.27635E-03  0.38224E-05  0.31090E-03
  0.14983E-05  0.31377E-03  0.20427E-04  0.24265E-03  0.82492E-04  0.21451E-03  0.22549E-03
  0.54832E-03  0.54832E-03  0.17887E-02  0.17887E-02  0.22838E+00  0.22838E+00  0.11813E-01
  0.11813E-01  0.25302E+00  0.25302E+00  0.17659E-02  0.17659E-02  0.53937E-03  0.53937E-03
  0.17267E-03  0.26281E-03  0.27563E-03  0.88920E-04  0.29867E-03  0.78356E-06  0.35135E-03
  0.11922E-05  0.30848E-03  0.10379E-05  0.23919E-03  0.13146E-05
time=       2.00(fs).
  0.35298E-03  0.22215E-05  0.25579E-03  0.14529E-05  0.26374E-03  0.40369E-05  0.30991E-03
  0.16949E-05  0.30331E-03  0.26985E-04  0.24804E-03  0.93310E-04  0.28250E-03  0.25322E-03
  0.65386E-03  0.65386E-03  0.22020E-02  0.22020E-02  0.24904E+00  0.24904E+00  0.15582E-01
  0.15582E-01  0.22763E+00  0.22763E+00  0.20134E-02  0.20134E-02  0.62623E-03  0.62623E-03
  0.22670E-03  0.27588E-03  0.29211E-03  0.10629E-03  0.28177E-03  0.11241E-05  0.36215E-03
  0.13862E-05  0.28010E-03  0.11878E-05  0.27839E-03  0.14671E-05
time=       3.00(fs).
  0.35131E-03  0.27906E-05  0.26982E-03  0.13507E-05  0.33139E-03  0.40717E-05  0.26423E-03
  0.16170E-05  0.31370E-03  0.26923E-04  0.23539E-03  0.86736E-04  0.30330E-03  0.30637E-03
  0.45642E-03  0.45642E-03  0.23141E-02  0.23141E-02  0.23428E+00  0.23428E+00  0.20706E-01
  0.20706E-01  0.23754E+00  0.23754E+00  0.19020E-02  0.19020E-02  0.45727E-03  0.45727E-03
  0.23111E-03  0.32353E-03  0.24785E-03  0.10191E-03  0.31427E-03  0.12876E-05  0.31660E-03
  0.11794E-05  0.36242E-03  0.11536E-05  0.28258E-03  0.14653E-05
time=       4.00(fs).
  0.36493E-03  0.25105E-05  0.25762E-03  0.13764E-05  0.32725E-03  0.46569E-05  0.28119E-03
  0.16282E-05  0.28212E-03  0.26518E-04  0.25194E-03  0.75589E-04  0.33260E-03  0.32222E-03
  0.44615E-03  0.44615E-03  0.26043E-02  0.26043E-02  0.22461E+00  0.22461E+00  0.25603E-01
  0.25603E-01  0.24195E+00  0.24195E+00  0.20115E-02  0.20115E-02  0.41640E-03  0.41640E-03
  0.23902E-03  0.33928E-03  0.28282E-03  0.90976E-04  0.27175E-03  0.14751E-05  0.32324E-03
  0.12116E-05  0.34830E-03  0.12320E-05  0.29115E-03  0.14848E-05
time=       5.00(fs).
  0.37244E-03  0.30606E-05  0.29896E-03  0.15321E-05  0.32859E-03  0.58660E-05  0.29436E-03
  0.15047E-05  0.30464E-03  0.24686E-04  0.28933E-03  0.67388E-04  0.28578E-03  0.27839E-03
  0.36256E-03  0.36256E-03  0.27271E-02  0.27271E-02  0.23836E+00  0.23836E+00  0.21698E-01
  0.21698E-01  0.23188E+00  0.23188E+00  0.22911E-02  0.22911E-02  0.30947E-03  0.30947E-03
  0.21780E-03  0.30762E-03  0.29757E-03  0.71973E-04  0.28936E-03  0.13042E-05  0.31297E-03
  0.11354E-05  0.35391E-03  0.15214E-05  0.32952E-03  0.16832E-05
time=       6.00(fs).
  0.34042E-03  0.27959E-05  0.27042E-03  0.15474E-05  0.29664E-03  0.54356E-05  0.23459E-03
  0.15462E-05  0.27048E-03  0.20911E-04  0.25173E-03  0.72957E-04  0.20500E-03  0.19773E-03
  0.30035E-03  0.30035E-03  0.24323E-02  0.24323E-02  0.22399E+00  0.22399E+00  0.21071E-01
  0.21071E-01  0.24776E+00  0.24776E+00  0.20959E-02  0.20959E-02  0.28668E-03  0.28668E-03
  0.16287E-03  0.25897E-03  0.29377E-03  0.77723E-04  0.26791E-03  0.10788E-05  0.25315E-03
  0.12702E-05  0.32473E-03  0.13516E-05  0.30393E-03  0.16973E-05
time=       7.00(fs).
