iaver=       1

     time=       8.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.67996E-02 -0.47066E-01 -0.62220E-01 -0.62220E-01 -0.73499E-01 -0.11714E+00
 -0.12683E+00 -0.12683E+00 -0.13441E+00 -0.17665E+00 -0.18485E+00 -0.18485E+00 -0.18547E+00
 -0.22394E+00 -0.23553E+00 -0.23553E+00 -0.24804E+00 -0.27754E+00 -0.27863E+00 -0.27863E+00
 -0.28280E+00 -0.31121E+00 -0.31401E+00 -0.31401E+00 -0.31705E+00 -0.34161E+00 -0.34161E+00
 -0.34363E+00 -0.34475E+00 -0.35660E+00 -0.36135E+00 -0.36135E+00 -0.36902E+00 -0.37249E+00
 -0.37321E+00 -0.37321E+00 -0.37571E+00 -0.37717E+00 -0.38563E+00

     time=       9.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.12086E-01 -0.51348E-01 -0.62220E-01 -0.62220E-01 -0.71425E-01 -0.11691E+00
 -0.12683E+00 -0.12683E+00 -0.13332E+00 -0.17397E+00 -0.18485E+00 -0.18485E+00 -0.18646E+00
 -0.23048E+00 -0.23553E+00 -0.23553E+00 -0.24653E+00 -0.27863E+00 -0.27863E+00 -0.27873E+00
 -0.28191E+00 -0.30959E+00 -0.31401E+00 -0.31401E+00 -0.31830E+00 -0.34161E+00 -0.34161E+00
 -0.34288E+00 -0.34385E+00 -0.35613E+00 -0.36135E+00 -0.36135E+00 -0.36994E+00 -0.37321E+00
 -0.37321E+00 -0.37351E+00 -0.37636E+00 -0.37717E+00 -0.38594E+00

     time=      10.00(fs). Energy of active surface:-0.62220E-01 RYD
 -0.61846E-02 -0.16670E-01 -0.57187E-01 -0.62220E-01 -0.62220E-01 -0.67638E-01 -0.11840E+00
 -0.12683E+00 -0.12683E+00 -0.12978E+00 -0.17204E+00 -0.18485E+00 -0.18485E+00 -0.18770E+00
 -0.23553E+00 -0.23553E+00 -0.23680E+00 -0.24259E+00 -0.27412E+00 -0.27863E+00 -0.27863E+00
