iaver=       1

     time=       1.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.40647E+00  0.41097E+00  0.41151E+00  0.41168E+00  0.43223E+00  0.43233E+00  0.44796E+00
  0.45477E+00  0.46090E+00  0.46171E+00  0.46793E+00  0.47583E+00

     time=       9.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.16583E-01  0.32446E-01  0.78590E-01  0.95310E-01  0.95310E-01  0.98186E-01  0.16536E+00
  0.18027E+00  0.18027E+00  0.18481E+00  0.25338E+00  0.27058E+00  0.27174E+00  0.27174E+00
  0.34262E+00  0.34700E+00  0.34828E+00  0.35798E+00  0.36173E+00  0.36221E+00  0.37581E+00
  0.38003E+00  0.38201E+00  0.38449E+00  0.39447E+00  0.39837E+00  0.39914E+00  0.40092E+00
  0.40649E+00  0.41095E+00  0.41158E+00  0.41203E+00  0.43220E+00  0.43236E+00  0.44900E+00
  0.45349E+00  0.46169E+00  0.46228E+00  0.47017E+00  0.47112E+00

     time=      10.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.13008E-01  0.32446E-01  0.83175E-01  0.91658E-01  0.95310E-01  0.95310E-01  0.16770E+00
  0.17838E+00  0.18027E+00  0.18027E+00  0.25009E+00  0.27091E+00  0.27174E+00  0.27174E+00
  0.34235E+00  0.34816E+00  0.34848E+00  0.36039E+00  0.36172E+00  0.36346E+00  0.37388E+00
  0.38067E+00  0.38180E+00  0.38410E+00  0.39446E+00  0.39661E+00  0.39848E+00  0.39916E+00
  0.40652E+00  0.41092E+00  0.41162E+00  0.41222E+00  0.43216E+00  0.43240E+00  0.44983E+00
  0.45204E+00  0.46163E+00  0.46267E+00  0.46595E+00  0.47472E+00

     time=      11.00(fs). Energy of active surface: 0.95310E-01 RYD
  0.11094E-01  0.32446E-01  0.84001E-01  0.89677E-01  0.95310E-01  0.95310E-01  0.17203E+00
  0.17243E+00  0.18027E+00  0.18027E+00  0.24952E+00  0.27174E+00  0.27174E+00  0.27203E+00
  0.34200E+00  0.34823E+00  0.34896E+00  0.36056E+00  0.36169E+00  0.36765E+00  0.36979E+00
  0.37972E+00  0.38099E+00  0.38742E+00  0.39134E+00  0.39447E+00  0.39843E+00  0.39910E+00
