 written on 20Jun2021 at 09:09:34 
           6
          21
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2
    0    0   -7    4    5   -0.000107   -0.000000
    0    0   -7    5    5    0.006055    0.000000
    0    0   -7    6    5    0.000069    0.000001
    0    0   -7    1    6    0.000069    0.000000
    0    0   -7    2    6   -0.001009    0.000010
    0    0   -7    3    6   -0.000003    0.000000
    0    0   -7    4    6   -0.006931    0.000070
    0    0   -7    5    6   -0.000069   -0.000000
    0    0   -7    6    6    0.004428   -0.000000
    0    0   -6    1    1   -0.004435    0.000000
    0    0   -6    2    1    0.000135    0.000002
    0    0   -6    3    1    0.006448   -0.000071
    0    0   -6    4    1   -0.000102    0.000001
    0    0   -6    5    1   -0.004427   -0.000004
    0    0   -6    6    1    0.000069   -0.000000
    0    0   -6    1    2    0.000135   -0.000002
    0    0   -6    2    2   -0.039884   -0.000000
    0    0   -6    3    2    0.000000   -0.000000
    0    0   -6    4    2    0.002416   -0.000002
    0    0   -6    5    2   -0.000136    0.000001
    0    0   -6    6    2   -0.001009   -0.000010
    0    0   -6    1    3    0.079235    0.000872
    0    0   -6    2    3    0.000003    0.000001
    0    0   -6    3    3   -0.044457   -0.000000
    0    0   -6    4    3    0.000017    0.000000
    0    0   -6    5    3    0.079237    0.000947
    0    0   -6    6    3    0.000014    0.000000
    0    0   -6    1    4    0.000083    0.000004
    0    0   -6    2    4    0.035263    0.000022
    0    0   -6    3    4    0.000016   -0.000000
    0    0   -6    4    4   -0.014303    0.000000
    0    0   -6    5    4   -0.000081   -0.000004
    0    0   -6    6    4    0.008493    0.000087
    0    0   -6    1    5   -0.004427    0.000004
    0    0   -6    2    5   -0.000136   -0.000001
    0    0   -6    3    5    0.006450   -0.000077
    0    0   -6    4    5    0.000102   -0.000001
    0    0   -6    5    5   -0.004435    0.000000
    0    0   -6    6    5   -0.000069    0.000000
    0    0   -6    1    6   -0.000055   -0.000002
    0    0   -6    2    6   -0.021641    0.000205
    0    0   -6    3    6    0.000014   -0.000000
    0    0   -6    4    6    0.008493   -0.000087
    0    0   -6    5    6    0.000055    0.000002
    0    0   -6    6    6   -0.005041    0.000000
    0    0   -5    1    1   -0.011859    0.000000
    0    0   -5    2    1   -0.000177    0.000005
    0    0   -5    3    1    0.079235   -0.000872
    0    0   -5    4    1    0.000083   -0.000004
    0    0   -5    5    1   -0.011887   -0.000011
    0    0   -5    6    1   -0.000055    0.000002
    0    0   -5    1    2   -0.000177   -0.000005
    0    0   -5    2    2   -0.021981    0.000000
    0    0   -5    3    2    0.000003   -0.000001
    0    0   -5    4    2    0.035263   -0.000022
    0    0   -5    5    2    0.000176    0.000005
    0    0   -5    6    2   -0.021641   -0.000205
    0    0   -5    1    3    0.031752    0.000349
    0    0   -5    2    3   -0.000001    0.000001
    0    0   -5    3    3    0.042188   -0.000000
    0    0   -5    4    3    0.000009    0.000000
    0    0   -5    5    3    0.031749    0.000379
    0    0   -5    6    3    0.000007   -0.000000
    0    0   -5    1    4    0.000041    0.000000
    0    0   -5    2    4   -0.016159   -0.000010
    0    0   -5    3    4    0.000009   -0.000000
    0    0   -5    4    4   -0.018551   -0.000000
    0    0   -5    5    4   -0.000041   -0.000000
    0    0   -5    6    4    0.011634    0.000116
    0    0   -5    1    5   -0.011887    0.000011
    0    0   -5    2    5    0.000176   -0.000005
    0    0   -5    3    5    0.079237   -0.000947
    0    0   -5    4    5   -0.000081    0.000004
    0    0   -5    5    5   -0.011859    0.000000
    0    0   -5    6    5    0.000055   -0.000002
    0    0   -5    1    6   -0.000042   -0.000000
    0    0   -5    2    6    0.007762   -0.000074
    0    0   -5    3    6    0.000007   -0.000000
    0    0   -5    4    6    0.011634   -0.000116
    0    0   -5    5    6    0.000041    0.000000
    0    0   -5    6    6   -0.007223   -0.000000
    0    0   -4    1    1   -0.004363   -0.000000
    0    0   -4    2    1    0.000823   -0.000016
    0    0   -4    3    1    0.031771   -0.000349
    0    0   -4    4    1    0.000041   -0.000000
    0    0   -4    5    1   -0.004345   -0.000004
    0    0   -4    6    1   -0.000042    0.000000
    0    0   -4    1    2    0.000823    0.000016
    0    0   -4    2    2    0.099278    0.000000
    0    0   -4    3    2   -0.000001    0.000000
    0    0   -4    4    2   -0.016159    0.000010
    0    0   -4    5    2   -0.000820   -0.000016
    0    0   -4    6    2    0.007762    0.000074
    0    0   -4    1    3   -0.119524   -0.001316
    0    0   -4    2    3   -0.000006   -0.000000
    0    0   -4    3    3    0.129400   -0.000000
    0    0   -4    4    3   -0.000023   -0.000001
    0    0   -4    5    3   -0.119529   -0.001430
    0    0   -4    6    3   -0.000023   -0.000000
    0    0   -4    1    4   -0.000893   -0.000017
    0    0   -4    2    4   -0.075484   -0.000046
    0    0   -4    3    4   -0.000022   -0.000000
    0    0   -4    4    4    0.034645    0.000000
    0    0   -4    5    4    0.000890    0.000017
    0    0   -4    6    4   -0.018254   -0.000184
    0    0   -4    1    5   -0.004345    0.000004
    0    0   -4    2    5   -0.000820    0.000016
    0    0   -4    3    5    0.031768   -0.000379
    0    0   -4    4    5   -0.000041    0.000001
    0    0   -4    5    5   -0.004363    0.000000
    0    0   -4    6    5    0.000041   -0.000000
    0    0   -4    1    6    0.000682    0.000005
    0    0   -4    2    6    0.043584   -0.000408
    0    0   -4    3    6   -0.000023    0.000000
    0    0   -4    4    6   -0.018253    0.000184
    0    0   -4    5    6   -0.000681   -0.000005
    0    0   -4    6    6    0.009330   -0.000000
    0    0   -3    1    1    0.023793    0.000000
    0    0   -3    2    1   -0.000056   -0.000005
    0    0   -3    3    1   -0.119516    0.001316
    0    0   -3    4    1   -0.000893    0.000017
    0    0   -3    5    1    0.023679    0.000022
    0    0   -3    6    1    0.000682   -0.000005
    0    0   -3    1    2   -0.000056    0.000005
    0    0   -3    2    2    0.014706   -0.000000
    0    0   -3    3    2   -0.000006    0.000002
    0    0   -3    4    2   -0.075484    0.000046
    0    0   -3    5    2    0.000057   -0.000005
    0    0   -3    6    2    0.043584    0.000408
    0    0   -3    1    3   -0.166443   -0.001830
    0    0   -3    2    3    0.000004   -0.000001
    0    0   -3    3    3   -0.078167    0.000000
    0    0   -3    4    3   -0.000024   -0.000001
    0    0   -3    5    3   -0.166431   -0.001988
    0    0   -3    6    3   -0.000019    0.000000
    0    0   -3    1    4    0.002351    0.000027
    0    0   -3    2    4    0.075279    0.000041
    0    0   -3    3    4   -0.000024   -0.000000
    0    0   -3    4    4    0.036102    0.000000
    0    0   -3    5    4   -0.002355   -0.000030
    0    0   -3    6    4   -0.023790   -0.000236
    0    0   -3    1    5    0.023679   -0.000022
    0    0   -3    2    5    0.000056    0.000004
    0    0   -3    3    5   -0.119521    0.001429
    0    0   -3    4    5    0.000890   -0.000017
    0    0   -3    5    5    0.023792   -0.000000
    0    0   -3    6    5   -0.000681    0.000005
    0    0   -3    1    6   -0.000451   -0.000001
    0    0   -3    2    6   -0.030276    0.000282
    0    0   -3    3    6   -0.000019    0.000000
    0    0   -3    4    6   -0.023790    0.000236
    0    0   -3    5    6    0.000447    0.000002
    0    0   -3    6    6    0.015764   -0.000000
    0    0   -2    1    1    0.098690   -0.000000
    0    0   -2    2    1   -0.005954    0.000094
    0    0   -2    3    1   -0.166490    0.001831
    0    0   -2    4    1    0.002352   -0.000028
    0    0   -2    5    1    0.092218    0.000088
    0    0   -2    6    1   -0.000451    0.000001
    0    0   -2    1    2   -0.005953   -0.000094
    0    0   -2    2    2   -0.383927    0.000000
    0    0   -2    3    2    0.000003    0.000002
    0    0   -2    4    2    0.075279   -0.000041
    0    0   -2    5    2    0.005935    0.000094
    0    0   -2    6    2   -0.030279   -0.000282
    0    0   -2    1    3    0.542083    0.005968
    0    0   -2    2    3    0.000008    0.000005
    0    0   -2    3    3   -0.694515    0.000000
    0    0   -2    4    3    0.000047   -0.000000
    0    0   -2    5    3    0.542115    0.006482
    0    0   -2    6    3    0.000053    0.000001
    0    0   -2    1    4    0.006006    0.000105
    0    0   -2    2    4    0.364080    0.000237
    0    0   -2    3    4    0.000044   -0.000001
    0    0   -2    4    4   -0.131904   -0.000000
    0    0   -2    5    4   -0.005983   -0.000104
    0    0   -2    6    4    0.060123    0.000594
    0    0   -2    1    5    0.092218   -0.000088
    0    0   -2    2    5    0.005935   -0.000094
    0    0   -2    3    5   -0.166479    0.001989
    0    0   -2    4    5   -0.002355    0.000030
    0    0   -2    5    5    0.098688    0.000000
    0    0   -2    6    5    0.000446   -0.000002
    0    0   -2    1    6    0.017601   -0.000037
    0    0   -2    2    6   -0.231269    0.002160
    0    0   -2    3    6    0.000055    0.000001
    0    0   -2    4    6    0.060120   -0.000594
    0    0   -2    5    6   -0.017611    0.000017
    0    0   -2    6    6   -0.015394    0.000000
    0    0   -1    1    1   -0.586484   -0.000000
    0    0   -1    2    1    0.040385   -0.000420
    0    0   -1    3    1    0.542097   -0.005968
    0    0   -1    4    1    0.006003   -0.000104
    0    0   -1    5    1   -0.708537   -0.000672
    0    0   -1    6    1    0.017603    0.000036
    0    0   -1    1    2    0.040376    0.000417
    0    0   -1    2    2    0.422349    0.000000
    0    0   -1    3    2    0.000007   -0.000005
    0    0   -1    4    2    0.364078   -0.000237
    0    0   -1    5    2   -0.040352   -0.000448
    0    0   -1    6    2   -0.231265   -0.002160
    0    0   -1    1    3   -0.408468   -0.004480
    0    0   -1    2    3    0.000074   -0.000003
    0    0   -1    3    3    1.280974    0.000000
    0    0   -1    4    3    0.000159    0.000002
    0    0   -1    5    3   -0.408376   -0.004868
    0    0   -1    6    3    0.000147    0.000000
    0    0   -1    1    4    0.716043    0.006777
    0    0   -1    2    4   -2.369295   -0.001320
    0    0   -1    3    4    0.000163    0.000001
    0    0   -1    4    4   -0.328039   -0.000000
    0    0   -1    5    4   -0.716099   -0.007474
    0    0   -1    6    4    0.431764    0.004419
    0    0   -1    1    5   -0.708536    0.000672
    0    0   -1    2    5   -0.040349    0.000444
    0    0   -1    3    5    0.542128   -0.006482
    0    0   -1    4    5   -0.005984    0.000105
    0    0   -1    5    5   -0.586479    0.000000
    0    0   -1    6    5   -0.017610   -0.000017
    0    0   -1    1    6    1.025618   -0.000405
    0    0   -1    2    6    1.318828   -0.012262
    0    0   -1    3    6    0.000143   -0.000002
    0    0   -1    4    6    0.431772   -0.004419
    0    0   -1    5    6   -1.025601   -0.000560
    0    0   -1    6    6   -0.146047    0.000000
    0    0    0    1    1  -13.169094    0.000000
    0    0    0    2    1   -0.019645   -0.000925
    0    0    0    3    1   -0.408396    0.004479
    0    0    0    4    1    0.716042   -0.006776
    0    0    0    5    1    5.022082    0.004765
    0    0    0    6    1    1.025595    0.000405
    0    0    0    1    2   -0.019645    0.000925
    0    0    0    2    2   -3.786412    0.000000
    0    0    0    3    2    0.000076    0.000005
    0    0    0    4    2   -2.369271    0.001320
    0    0    0    5    2    0.019738   -0.000874
    0    0    0    6    2    1.318861    0.012263
    0    0    0    1    3   -0.408396   -0.004479
    0    0    0    2    3    0.000076   -0.000005
    0    0    0    3    3   -1.084448    0.000000
    0    0    0    4    3    0.000340   -0.000000
    0    0    0    5    3   -0.408303   -0.004868
    0    0    0    6    3    0.000351    0.000004
    0    0    0    1    4    0.716042    0.006776
    0    0    0    2    4   -2.369271   -0.001320
    0    0    0    3    4    0.000340    0.000000
    0    0    0    4    4   -9.460438   -0.000000
    0    0    0    5    4   -0.716103   -0.007475
    0    0    0    6    4   -5.539089   -0.056715
    0    0    0    1    5    5.022082   -0.004765
    0    0    0    2    5    0.019738    0.000874
    0    0    0    3    5   -0.408303    0.004868
    0    0    0    4    5   -0.716103    0.007475
    0    0    0    5    5  -13.169153    0.000000
    0    0    0    6    5   -1.025578    0.000560
    0    0    0    1    6    1.025595   -0.000405
    0    0    0    2    6    1.318861   -0.012263
    0    0    0    3    6    0.000351   -0.000004
    0    0    0    4    6   -5.539089    0.056715
    0    0    0    5    6   -1.025578   -0.000560
    0    0    0    6    6  -14.079521   -0.000000
    0    0    1    1    1   -0.586484    0.000000
    0    0    1    2    1    0.040376   -0.000417
    0    0    1    3    1   -0.408468    0.004480
    0    0    1    4    1    0.716043   -0.006777
    0    0    1    5    1   -0.708536   -0.000672
    0    0    1    6    1    1.025618    0.000405
    0    0    1    1    2    0.040385    0.000420
    0    0    1    2    2    0.422349   -0.000000
    0    0    1    3    2    0.000074    0.000003
    0    0    1    4    2   -2.369295    0.001320
    0    0    1    5    2   -0.040349   -0.000444
    0    0    1    6    2    1.318828    0.012262
    0    0    1    1    3    0.542097    0.005968
    0    0    1    2    3    0.000007    0.000005
    0    0    1    3    3    1.280974   -0.000000
    0    0    1    4    3    0.000163   -0.000001
    0    0    1    5    3    0.542128    0.006482
    0    0    1    6    3    0.000143    0.000002
    0    0    1    1    4    0.006003    0.000104
    0    0    1    2    4    0.364078    0.000237
    0    0    1    3    4    0.000159   -0.000002
    0    0    1    4    4   -0.328039    0.000000
    0    0    1    5    4   -0.005984   -0.000105
    0    0    1    6    4    0.431772    0.004419
    0    0    1    1    5   -0.708537    0.000672
    0    0    1    2    5   -0.040352    0.000448
    0    0    1    3    5   -0.408376    0.004868
    0    0    1    4    5   -0.716099    0.007474
    0    0    1    5    5   -0.586479   -0.000000
    0    0    1    6    5   -1.025601    0.000560
    0    0    1    1    6    0.017603   -0.000036
    0    0    1    2    6   -0.231265    0.002160
    0    0    1    3    6    0.000147   -0.000000
    0    0    1    4    6    0.431764   -0.004419
    0    0    1    5    6   -0.017610    0.000017
    0    0    1    6    6   -0.146047   -0.000000
    0    0    2    1    1    0.098690    0.000000
    0    0    2    2    1   -0.005953    0.000094
    0    0    2    3    1    0.542083   -0.005968
    0    0    2    4    1    0.006006   -0.000105
    0    0    2    5    1    0.092218    0.000088
    0    0    2    6    1    0.017601    0.000037
    0    0    2    1    2   -0.005954   -0.000094
    0    0    2    2    2   -0.383927   -0.000000
    0    0    2    3    2    0.000008   -0.000005
    0    0    2    4    2    0.364080   -0.000237
    0    0    2    5    2    0.005935    0.000094
    0    0    2    6    2   -0.231269   -0.002160
    0    0    2    1    3   -0.166490   -0.001831
    0    0    2    2    3    0.000003   -0.000002
    0    0    2    3    3   -0.694515   -0.000000
    0    0    2    4    3    0.000044    0.000001
    0    0    2    5    3   -0.166479   -0.001989
    0    0    2    6    3    0.000055   -0.000001
    0    0    2    1    4    0.002352    0.000028
    0    0    2    2    4    0.075279    0.000041
    0    0    2    3    4    0.000047    0.000000
    0    0    2    4    4   -0.131904    0.000000
    0    0    2    5    4   -0.002355   -0.000030
